Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
Chuyên Gia Phân tích dữ liệu và xây dựng mô hình phát hiện gian lận - Khối Quản trị rủi ro (2026TD453499) MBBANK Thoả thuận · Hà Nội Expert Data Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684759
"Chuyên viên cao cấp, Chuyên Gia Phân tích dữ liệu Tuân thủ - Khối Pháp chế và Tuân thủ (2026TD450951) MBBANK Thoả thuận · Hà Nội Expert Data Analyst 13 ngày trước",Hà Nội,Thỏa thuận,13 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/684760
AI & DATA ENGINEER CÔNG TY TNHH DREAM TALENT Thoả thuận · TP.Hồ Chí Minh Middle Data Engineer 13 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,13 ngày trước,"Python, SQL, Excel, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684762
Nhân Viên Phân Tích Dữ Liệu Kinh Doanh - TTDVCP TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL Thoả thuận · Hà Nội Junior Data Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Python, SQL, Power BI, Excel, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/684776
Business Analyst - Upto 45M (Remote/Hybrid) VMO Thoả thuận · Hà Nội Business Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Python, SQL, Power BI, Tableau, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684285
Business Analyst - Chuyên viên phân tích nghiệp vụ VCCorp Corporation Thoả thuận · Hà Nội Business Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684150
Data Scientist - Vietnam Globant Thoả thuận · Hà Nội Data Scientist 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Python, Power BI, Tableau, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683982
Senior Business Analyst (Banking Project) Helius Tech Vietnam Thoả thuận · Hà Nội Senior Business Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683951
Business Analyst (Middle/Senior) Saigon Technology - Accelerate Software Development Thoả thuận · Đà Nẵng Middle/Senior Business Analyst 13 ngày trước,Đà Nẵng,Thỏa thuận,13 ngày trước,"SQL, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/683940
"Business Analyst, Lighthouse ADA Thoả thuận · TP.Hồ Chí Minh Business Analyst 13 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,13 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683941
Data Scientist Globant Thoả thuận · Hà Nội Data Scientist 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Python, Power BI, Tableau, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683931
Middle AI Engineer (Inference Engineering) Autonomous Inc. Thoả thuận · TP.Hồ Chí Minh Middle AI Engineer 13 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,13 ngày trước,"Python, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/683930
Data Engineer GiaoHangNhanh (GHN) Thoả thuận · TP.Hồ Chí Minh Data Engineer 13 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,13 ngày trước,"Python, SQL, Excel, Spark, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683928
