link,kynangchitiet
https://jobs.xomdata.com/jobs/685045,R
https://jobs.xomdata.com/jobs/685044,Machine Learning
https://jobs.xomdata.com/jobs/685044,R
https://jobs.xomdata.com/jobs/685042,SQL
https://jobs.xomdata.com/jobs/685042,ETL
https://jobs.xomdata.com/jobs/685042,Machine Learning
https://jobs.xomdata.com/jobs/685042,R
https://jobs.xomdata.com/jobs/685038,Power BI
https://jobs.xomdata.com/jobs/685038,Tableau
https://jobs.xomdata.com/jobs/685038,Excel
https://jobs.xomdata.com/jobs/685038,Machine Learning
https://jobs.xomdata.com/jobs/685038,R
https://jobs.xomdata.com/jobs/685036,Python
https://jobs.xomdata.com/jobs/685036,Machine Learning
https://jobs.xomdata.com/jobs/685036,R
https://jobs.xomdata.com/jobs/685034,Python
https://jobs.xomdata.com/jobs/685034,SQL
https://jobs.xomdata.com/jobs/685034,Machine Learning
https://jobs.xomdata.com/jobs/685034,R
https://jobs.xomdata.com/jobs/685035,SQL
https://jobs.xomdata.com/jobs/685035,Power BI
https://jobs.xomdata.com/jobs/685035,Tableau
https://jobs.xomdata.com/jobs/685035,Machine Learning
https://jobs.xomdata.com/jobs/685035,R
https://jobs.xomdata.com/jobs/685033,Python
https://jobs.xomdata.com/jobs/685033,AWS
https://jobs.xomdata.com/jobs/685033,Azure
https://jobs.xomdata.com/jobs/685033,Machine Learning
https://jobs.xomdata.com/jobs/685033,R
https://jobs.xomdata.com/jobs/685031,Python
https://jobs.xomdata.com/jobs/685031,SQL
https://jobs.xomdata.com/jobs/685031,Power BI
https://jobs.xomdata.com/jobs/685031,Tableau
https://jobs.xomdata.com/jobs/685031,ETL
https://jobs.xomdata.com/jobs/685031,Machine Learning
https://jobs.xomdata.com/jobs/685031,R
https://jobs.xomdata.com/jobs/685031,Git
https://jobs.xomdata.com/jobs/685030,Python
https://jobs.xomdata.com/jobs/685030,SQL
https://jobs.xomdata.com/jobs/685030,Spark
https://jobs.xomdata.com/jobs/685030,Docker
https://jobs.xomdata.com/jobs/685030,ETL
https://jobs.xomdata.com/jobs/685030,Machine Learning
https://jobs.xomdata.com/jobs/685030,R
https://jobs.xomdata.com/jobs/685030,Git
https://jobs.xomdata.com/jobs/685029,Python
https://jobs.xomdata.com/jobs/685029,SQL
https://jobs.xomdata.com/jobs/685029,Spark
https://jobs.xomdata.com/jobs/685029,AWS
https://jobs.xomdata.com/jobs/685029,Azure
https://jobs.xomdata.com/jobs/685029,Machine Learning
https://jobs.xomdata.com/jobs/685029,R
https://jobs.xomdata.com/jobs/685029,Git
https://jobs.xomdata.com/jobs/685028,Python
https://jobs.xomdata.com/jobs/685028,Power BI
https://jobs.xomdata.com/jobs/685028,Tableau
https://jobs.xomdata.com/jobs/685028,Excel
https://jobs.xomdata.com/jobs/685028,Machine Learning
https://jobs.xomdata.com/jobs/685028,R
https://jobs.xomdata.com/jobs/685026,Python
https://jobs.xomdata.com/jobs/685026,SQL
https://jobs.xomdata.com/jobs/685026,AWS
https://jobs.xomdata.com/jobs/685026,Azure
https://jobs.xomdata.com/jobs/685026,Machine Learning
https://jobs.xomdata.com/jobs/685026,R
https://jobs.xomdata.com/jobs/685024,Machine Learning
https://jobs.xomdata.com/jobs/685024,R
https://jobs.xomdata.com/jobs/685025,SQL
https://jobs.xomdata.com/jobs/685025,Power BI
https://jobs.xomdata.com/jobs/685025,Tableau
https://jobs.xomdata.com/jobs/685025,Machine Learning
https://jobs.xomdata.com/jobs/685025,R
https://jobs.xomdata.com/jobs/685027,Tableau
https://jobs.xomdata.com/jobs/685027,AWS
